,Samplingpoint,Pollutant,Start,Value,Unit
2015,IT/SPO-IT0466A_00005_500,5,2003-08-09,54.0,ug.m-3
2016,IT/SPO-IT0466A_00005_500,5,2003-08-10,50.0,ug.m-3
2017,IT/SPO-IT0466A_00005_500,5,2003-08-11,54.0,ug.m-3
2018,IT/SPO-IT0466A_00005_500,5,2003-08-12,54.0,ug.m-3
2019,IT/SPO-IT0466A_00005_500,5,2003-08-13,50.0,ug.m-3
2020,IT/SPO-IT0466A_00005_500,5,2003-08-14,46.0,ug.m-3
2021,IT/SPO-IT0466A_00005_500,5,2003-08-15,27.0,ug.m-3
2022,IT/SPO-IT0466A_00005_500,5,2003-08-16,38.0,ug.m-3
2023,IT/SPO-IT0466A_00005_500,5,2003-08-17,41.0,ug.m-3
2024,IT/SPO-IT0466A_00005_500,5,2003-08-18,27.0,ug.m-3
2025,IT/SPO-IT0466A_00005_500,5,2003-08-19,23.0,ug.m-3
2026,IT/SPO-IT0466A_00005_500,5,2003-08-20,31.0,ug.m-3
2027,IT/SPO-IT0466A_00005_500,5,2003-08-21,26.0,ug.m-3
2028,IT/SPO-IT0466A_00005_500,5,2003-08-22,31.0,ug.m-3
2029,IT/SPO-IT0466A_00005_500,5,2003-08-23,28.0,ug.m-3
2030,IT/SPO-IT0466A_00005_500,5,2003-08-24,28.0,ug.m-3
2031,IT/SPO-IT0466A_00005_500,5,2003-08-25,0.0,ug.m-3
2032,IT/SPO-IT0466A_00005_500,5,2003-08-26,0.0,ug.m-3
2033,IT/SPO-IT0466A_00005_500,5,2003-08-27,0.0,ug.m-3
2034,IT/SPO-IT0466A_00005_500,5,2003-08-28,0.0,ug.m-3
2035,IT/SPO-IT0466A_00005_500,5,2003-08-29,0.0,ug.m-3
2036,IT/SPO-IT0466A_00005_500,5,2003-08-30,0.0,ug.m-3
2037,IT/SPO-IT0466A_00005_500,5,2003-08-31,0.0,ug.m-3
2038,IT/SPO-IT0466A_00005_500,5,2003-09-01,20.0,ug.m-3
2039,IT/SPO-IT0466A_00005_500,5,2003-09-02,35.0,ug.m-3
2040,IT/SPO-IT0466A_00005_500,5,2003-09-03,30.0,ug.m-3
2041,IT/SPO-IT0466A_00005_500,5,2003-09-04,40.0,ug.m-3
2042,IT/SPO-IT0466A_00005_500,5,2003-09-05,53.0,ug.m-3
2043,IT/SPO-IT0466A_00005_500,5,2003-09-06,47.0,ug.m-3
2044,IT/SPO-IT0466A_00005_500,5,2003-09-07,36.0,ug.m-3
2045,IT/SPO-IT0466A_00005_500,5,2003-09-08,29.0,ug.m-3
2046,IT/SPO-IT0466A_00005_500,5,2003-09-09,29.0,ug.m-3
2047,IT/SPO-IT0466A_00005_500,5,2003-09-10,28.0,ug.m-3
2048,IT/SPO-IT0466A_00005_500,5,2003-09-11,34.0,ug.m-3
2049,IT/SPO-IT0466A_00005_500,5,2003-09-12,21.0,ug.m-3
2050,IT/SPO-IT0466A_00005_500,5,2003-09-13,36.0,ug.m-3
2051,IT/SPO-IT0466A_00005_500,5,2003-09-14,17.0,ug.m-3
2052,IT/SPO-IT0466A_00005_500,5,2003-09-15,42.0,ug.m-3
2053,IT/SPO-IT0466A_00005_500,5,2003-09-16,71.0,ug.m-3
2054,IT/SPO-IT0466A_00005_500,5,2003-09-17,85.0,ug.m-3
2055,IT/SPO-IT0466A_00005_500,5,2003-09-18,89.0,ug.m-3
2056,IT/SPO-IT0466A_00005_500,5,2003-09-19,106.0,ug.m-3
2057,IT/SPO-IT0466A_00005_500,5,2003-09-20,86.0,ug.m-3
2058,IT/SPO-IT0466A_00005_500,5,2003-09-21,61.0,ug.m-3
2059,IT/SPO-IT0466A_00005_500,5,2003-09-22,48.0,ug.m-3
2060,IT/SPO-IT0466A_00005_500,5,2003-09-23,36.0,ug.m-3
2061,IT/SPO-IT0466A_00005_500,5,2003-09-24,18.0,ug.m-3
2062,IT/SPO-IT0466A_00005_500,5,2003-09-25,45.0,ug.m-3
2063,IT/SPO-IT0466A_00005_500,5,2003-09-26,36.0,ug.m-3
2064,IT/SPO-IT0466A_00005_500,5,2003-09-27,55.0,ug.m-3
2065,IT/SPO-IT0466A_00005_500,5,2003-09-28,55.0,ug.m-3
2066,IT/SPO-IT0466A_00005_500,5,2003-09-29,48.0,ug.m-3
2067,IT/SPO-IT0466A_00005_500,5,2003-09-30,42.0,ug.m-3
2068,IT/SPO-IT0466A_00005_500,5,2003-10-01,44.0,ug.m-3
2069,IT/SPO-IT0466A_00005_500,5,2003-10-02,43.0,ug.m-3
2070,IT/SPO-IT0466A_00005_500,5,2003-10-03,86.0,ug.m-3
2071,IT/SPO-IT0466A_00005_500,5,2003-10-04,54.0,ug.m-3
2072,IT/SPO-IT0466A_00005_500,5,2003-10-05,7.0,ug.m-3
2073,IT/SPO-IT0466A_00005_500,5,2003-10-06,25.0,ug.m-3
2074,IT/SPO-IT0466A_00005_500,5,2003-10-07,59.0,ug.m-3
2075,IT/SPO-IT0466A_00005_500,5,2003-10-08,25.0,ug.m-3
2076,IT/SPO-IT0466A_00005_500,5,2003-10-09,86.0,ug.m-3
2077,IT/SPO-IT0466A_00005_500,5,2003-10-10,64.0,ug.m-3
2078,IT/SPO-IT0466A_00005_500,5,2003-10-11,67.0,ug.m-3
2079,IT/SPO-IT0466A_00005_500,5,2003-10-12,50.0,ug.m-3
